Date,Pumping_cubic_ft
Jan-00,5292734.208
Feb-00,4789253.208
Mar-00,5612045.333
Apr-00,90082912.5
May-00,150906056.3
Jun-00,623481137.5
Jul-00,1895572750
Aug-00,3394302292
Sep-00,527624533.3
Oct-00,7659093.083
Nov-00,5620878.333
Dec-00,5363839.25
1-Jan,5300682.083
1-Feb,4796760.042
1-Mar,5620881.375
1-Apr,15669742
1-May,49627316.25
1-Jun,436543650
1-Jul,2266257625
1-Aug,2375220771
1-Sep,525805920.8
1-Oct,7671901.542
1-Nov,5627947.167
1-Dec,5372231.208
2-Jan,5310400.208
2-Feb,4803384.792
2-Mar,5628388.208
2-Apr,65526290.42
2-May,71207241.67
2-Jun,560590725
2-Jul,4202442708
2-Aug,1999178304
2-Sep,365496704.2
2-Oct,7679852.458
2-Nov,5634571.917
2-Dec,5381064.208
3-Jan,5300682.083
3-Feb,4795436.917
3-Mar,5618670.083
3-Apr,95889271.67
3-May,20973958.5
3-Jun,147004084.6
3-Jul,1868570354
3-Aug,3658781292
3-Sep,1376098058
3-Oct,7670134.333
3-Nov,5626179.958
3-Dec,5371790.167
4-Jan,5314375.667
4-Feb,4808245.375
4-Mar,5632804.708
4-Apr,79183434.58
4-May,82419402.92
4-Jun,51058268.33
4-Jul,439520833.3
4-Aug,2715407767
4-Sep,2052496288
4-Oct,7689567.542
4-Nov,5639870.5
4-Dec,5385039.667
5-Jan,5323649.708
5-Feb,4816193.25
5-Mar,5640311.542
5-Apr,13727364.08
5-May,94940606.25
5-Jun,135445660
5-Jul,2927656788
5-Aug,2582126496
5-Sep,337217112.5
5-Oct,7708559.708
5-Nov,5654446.167
5-Dec,5396080.917
6-Jan,5328066.208
6-Feb,4822376.958
6-Mar,5797982.417
6-Apr,21045504.58
6-May,213995758.8
6-Jun,317939941.7
6-Jul,3572248917
6-Aug,1006591829
6-Sep,63229710.42
6-Oct,8359993.458
6-Nov,5888520.667
6-Dec,5404469.833
7-Jan,7145011.875
7-Feb,6424240.292
7-Mar,7554864.292
7-Apr,8568010
7-May,32222352.08
7-Jun,293422982.9
7-Jul,2793811288
7-Aug,831262254.2
7-Sep,120711340
7-Oct,10334610
7-Nov,7679411.417
7-Dec,7188738.875
8-Jan,7151195.583
8-Feb,6428215.75
8-Mar,7560162.875
8-Apr,9722483.708
8-May,61378308.75
8-Jun,94044075
8-Jul,2165691608
8-Aug,2800777921
8-Sep,704353579.2
8-Oct,75101700.42
8-Nov,7686036.167
8-Dec,7196686.75
9-Jan,7156497.208
9-Feb,6434840.5
9-Mar,7567672.75
9-Apr,28048750.46
9-May,90339507.5
9-Jun,97948692.92
9-Jul,1794033096
9-Aug,694313950
9-Sep,1719246725
9-Oct,81963183.33
9-Nov,7693101.958
9-Dec,7203311.5
10-Jan,7164889.167
10-Feb,6438371.875
10-Mar,7574297.5
10-Apr,35842117.92
10-May,62342882.08
10-Jun,127500826.7
10-Jul,485411370.8
10-Aug,3064518708
10-Sep,366319170.8
10-Oct,15625135.96
10-Nov,7698841.583
10-Dec,7210377.292
11-Jan,7418393.833
11-Feb,6696296.083
11-Mar,7864460.333
11-Apr,30587790.83
11-May,39384138.75
11-Jun,50718210
11-Jul,813094987.5
11-Aug,1729015950
11-Sep,586203383.3
11-Oct,15210426
11-Nov,8074244.083
11-Dec,7496126.667
12-Jan,7425903.708
12-Feb,6700712.583
12-Mar,25205850.63
12-Apr,50786647.5
12-May,79245697.5
12-Jun,636354991.7
12-Jul,6151971583
12-Aug,4176223542
12-Sep,98217667.5
12-Oct,10858406.29
12-Nov,8080868.833
12-Dec,7504515.583
